i,time,loss,ground_time,compile_time,eval_time
100,489.47058176994324,2.391054549397668,0.01394772220402956,0.007222071774303913,0.0418235120549798
200,975.7367470264435,1.1482286580032086,0.014132956489920617,0.007304031029343605,0.04081981834024191
300,1447.7792475223541,0.6016355877038586,0.014145560562610626,0.007295883633196354,0.039033390060067175
400,1906.970243215561,0.4610466611867741,0.014147915318608284,0.007311436794698239,0.03753494679927826
500,2359.3609869480133,0.3698094020621238,0.01416850461314121,0.007302605571846161,0.03672120697796344
600,2804.165810108185,0.24515511854974648,0.014137363471090793,0.007301607728004455,0.03512255907058716
700,3243.9550955295563,0.25835419177213453,0.014106509573757649,0.0072958792746067045,0.03473786912858486
800,3689.1324248313904,0.28764563958395456,0.014105538651347161,0.007296960949897766,0.035463190861046316
900,4125.997320652008,0.2444679165344178,0.014136436097323894,0.007295365929603576,0.03463153935968876
1000,4559.371481180191,0.19419748961058758,0.014174578562378875,0.007320237842698894,0.03416451131304105
1100,4989.958740234375,0.16700860238663723,0.014115764349699021,0.007302550822496414,0.03362022094428539
1200,5417.994111061096,0.17556644134232102,0.014112297892570496,0.007290426827967167,0.033445383496582506
1300,5844.460592031479,0.17839235160141642,0.014139932803809643,0.007295621410012245,0.03305770773440599
1400,6267.5320727825165,0.1757285903668071,0.014134561717510223,0.007298470363020897,0.03278500806540251
1500,6685.015652179718,0.12225170636184089,0.014140882305800915,0.007310835346579551,0.03216035267959038
1600,7102.834474563599,0.15064601597280045,0.014144956059753895,0.007301776073873043,0.0320487817004323
1700,7532.5283489227295,0.19997987361852892,0.01411976397037506,0.007288194335997105,0.033115852214396
1800,7951.857136726379,0.13558333215489482,0.01413629200309515,0.007305446676909923,0.0322266136854887
1900,8371.286540269852,0.1617667159343408,0.01412030816078188,0.00729754033188025,0.032274839580059056
2000,8782.113726854324,0.10667310344672724,0.014113359227776527,0.0072849906608462335,0.030730700343847273
2100,9196.254658937454,0.1363544910003955,0.014112978801131248,0.00730068814009428,0.03135728750377893
2200,9610.65855383873,0.13950846215026871,0.014119142293930053,0.007296013236045837,0.031451399736106396
2300,10028.095665931702,0.14700849761137277,0.014127461835741997,0.00730694193392992,0.031991128735244276
