i,time,loss,ground_time,compile_time,eval_time
100,32.38532257080078,3.1186616775020957,0.00497792936861515,0.000977954715490341,0.0014513849467039108
200,60.16965889930725,2.564525049831718,0.004466087892651558,0.0006991968303918839,0.0012351947277784347
300,86.08707094192505,2.2157722535450013,0.004225283190608025,0.0006343626230955124,0.0011986437439918517
400,111.0342869758606,1.9999137305561454,0.003998848050832749,0.0006227486580610276,0.0011912749707698822
500,136.63881421089172,1.828450544886291,0.003967508152127266,0.0006570276618003845,0.0013935545086860657
600,162.4915807247162,1.6639484469033778,0.004152456074953079,0.000653362050652504,0.0011964862793684007
700,188.67100429534912,1.5173799666459673,0.004239852353930473,0.0006397433578968048,0.0011892852187156678
800,213.95000958442688,1.50908112389734,0.0040793633460998536,0.0006304781138896942,0.0011933775246143342
900,239.46020889282227,1.437705931563396,0.00413235142827034,0.0006258574873209,0.0011946729570627213
1000,264.8369596004486,1.2430600932927336,0.004111019521951675,0.000632796585559845,0.0011887463927268982
1100,290.24153900146484,1.1985251523480107,0.00406158909201622,0.0006247229874134063,0.0011764153093099595
1200,315.812536239624,1.1455509185073607,0.004155291169881821,0.000629405677318573,0.0011694153398275375
1300,341.1012420654297,0.9813048607078053,0.0040424025803804395,0.000622367411851883,0.00116140179336071
1400,366.8348717689514,0.513077611707206,0.004192613959312439,0.0006341784447431565,0.0011205535382032394
1500,391.7236576080322,0.466702392116444,0.0039628583937883375,0.0006260406970977783,0.0011164692789316177
1600,417.5110352039337,0.4416068449933064,0.004191108420491219,0.0006278619170188904,0.0011086531728506089
1700,442.66572618484497,0.36015430658409364,0.004113537818193435,0.000625382587313652,0.001087576374411583
1800,469.9600319862366,0.3531379264956162,0.004471243023872375,0.0006441771984100342,0.0010944712907075883
1900,495.57710886001587,0.3593773230012661,0.00425695039331913,0.0006378631293773651,0.0010843994468450547
2000,520.6551306247711,0.33344894172728173,0.004100976288318634,0.0006243020296096801,0.001067211925983429
2100,545.8133878707886,0.31059896341103443,0.004082106873393059,0.0006290963292121888,0.0010771717876195907
2200,570.778416633606,0.2897861349549174,0.004117812514305114,0.0006284605711698532,0.0010601377487182617
2300,595.6913838386536,0.30237204049280075,0.004087982773780823,0.0006332205235958099,0.001062559485435486
2400,620.8271253108978,0.2568383904360375,0.004134084731340408,0.000629134401679039,0.0010592707246541977
2500,646.2719531059265,0.2792792821857048,0.004016275703907013,0.0006295414268970489,0.0011890372633934021
2600,671.3098568916321,0.27404310509584756,0.003998448476195336,0.0006336009502410888,0.0011648914217948913
2700,696.941704750061,0.26602521008725394,0.004116956144571304,0.0006420499086380005,0.0011736894398927688
2800,721.8594214916229,0.28333490763574537,0.004078217148780823,0.0006317934393882752,0.001050203964114189
2900,747.1055381298065,0.2186850199216377,0.004193691164255142,0.0006313758343458176,0.0010497014224529267
3000,771.7740268707275,0.2059061417575093,0.004059516340494156,0.0006304288655519485,0.0010283128172159195
3100,797.2279381752014,0.2461567070063232,0.004256032705307007,0.0006351245939731598,0.0010487036406993866
3200,822.5902428627014,0.22556932106808322,0.004275025948882103,0.0006474167853593826,0.0010381846129894257
3300,847.3844854831696,0.22165813243391633,0.004073044657707215,0.0006286889314651489,0.0010322163999080657
3400,872.508061170578,0.24576774987365954,0.0041064897179603575,0.000645420327782631,0.0011430931836366653
3500,897.3139715194702,0.1883878354372639,0.004085544794797898,0.0006335984170436859,0.0010399191081523894
3600,922.0512990951538,0.20194751258047816,0.004116425439715386,0.0006287460774183273,0.00101106658577919
3700,946.6559255123138,0.2302236790082792,0.004083980545401573,0.000633137971162796,0.0010323816537857057
3800,971.7762150764465,0.233365268604481,0.004110638275742531,0.0006425785273313522,0.0011471957713365556
3900,996.5363659858704,0.1794026287380669,0.0040898540616035465,0.000629238709807396,0.0010200591385364532
4000,1021.6568069458008,0.18635803806125165,0.0041957304626703265,0.0006332173943519592,0.0010196299105882645
4100,1046.9506254196167,0.16894394282732478,0.00424863874912262,0.0006376627832651138,0.0010221104323863983
4200,1071.7034060955048,0.22388372932591127,0.004112125113606453,0.0006365152448415757,0.0010175079107284546
4300,1097.472244501114,0.19960433310109746,0.004346914067864418,0.0006464286148548126,0.0010106656700372696
4400,1122.3949182033539,0.18948293019925536,0.004072389304637909,0.0006377367675304413,0.0011124038696289063
