i,time,loss,ground_time,compile_time,eval_time
100,166.2500410079956,2.7608840085193513,0.014820505231618882,0.007950272709131241,0.04055284798145294
200,334.26780223846436,2.492063449956477,0.014910586327314377,0.007981470972299575,0.040811956226825714
300,500.148832321167,2.0468953428510575,0.014920485764741897,0.00797951191663742,0.039771484583616255
400,665.387081861496,1.675996556794271,0.014916433095932007,0.007981416583061219,0.0388535949587822
500,829.60711145401,1.4899990743491798,0.014894615560770035,0.008056941628456115,0.03801702186465263
600,991.5273933410645,1.2397850606346037,0.015029549598693848,0.00802559345960617,0.03662852719426155
700,1162.1681306362152,1.0765139862848445,0.01496784672141075,0.008022549599409103,0.03887684851884842
800,1335.7353529930115,1.0208305557406856,0.014905644357204437,0.008021620661020279,0.03922568067908287
900,1511.4895770549774,0.8796688404292218,0.014927124381065368,0.008001562803983689,0.039256312251091004
1000,1686.033421754837,0.8182890601950931,0.014835605472326279,0.007989120930433273,0.038457773178815845
1100,1857.813622713089,0.6559803734202433,0.014939766079187393,0.008013843595981597,0.03691908910870552
1200,2030.70436835289,0.6478851155123266,0.015023973882198333,0.00799261435866356,0.03684275597333908
1300,2202.0646085739136,0.5910049415148387,0.015049060881137848,0.00799333706498146,0.036505311578512195
1400,2374.1183853149414,0.5369481063417334,0.015114063024520874,0.008036549538373947,0.03682099014520645
1500,2545.48073554039,0.5657262317791174,0.014809874594211578,0.00799642264842987,0.03642954558134079
1600,2717.4118218421936,0.58531540498705,0.0150382898747921,0.008021554350852967,0.036859447211027144
1700,2889.95606136322,0.49287601634940076,0.015047090202569962,0.007984832972288131,0.036504888236522676
1800,3061.868394136429,0.5448148429730282,0.01498562604188919,0.00801769196987152,0.036177423298358914
1900,3233.760891675949,0.4902186761046323,0.015027832537889481,0.008037593811750413,0.03694690778851509
2000,3404.7128314971924,0.3624518096194879,0.014869499653577804,0.007992213517427444,0.036114055067300796
2100,3574.920599937439,0.41697706785836997,0.014959875792264939,0.008036151379346847,0.03539979949593544
2200,3745.0859315395355,0.40000339228718074,0.014978505969047547,0.008047158867120742,0.03570087119936943
2300,3912.4809019565582,0.3043804625880512,0.014913183748722076,0.008013397008180618,0.034480177909135816
2400,4080.287751674652,0.3485455290386926,0.015029988139867783,0.00803871437907219,0.034622883051633836
2500,4243.7932114601135,0.3808374029231163,0.014967040866613388,0.008010199815034867,0.03397138297557831
2600,4403.438943147659,0.29680863713057987,0.015051232725381851,0.008046324104070664,0.03257044240832329
2700,4560.757586479187,0.29338382063597235,0.014991754293441772,0.00800094112753868,0.03228158667683601
2800,4715.765137195587,0.3248095033000436,0.014903935492038728,0.007973548471927643,0.03155563026666641
2900,4868.903048038483,0.3826416977095869,0.014970945119857788,0.008024182617664338,0.030796257853507994
3000,5022.345360517502,0.3863537242882012,0.015063904970884324,0.008008091598749162,0.0315129055082798
3100,5174.563978672028,0.31372651547395436,0.015003528594970703,0.008011198788881301,0.030867901742458344
3200,5325.35724902153,0.33991301898740856,0.014860311299562454,0.007975393384695053,0.030609242171049118
3300,5477.27344918251,0.2824470630681708,0.01503777027130127,0.008037308603525162,0.030684035271406174
3400,5628.211132287979,0.23346353443900625,0.015059481412172317,0.007995914220809936,0.03045686483383179
3500,5780.0388860702515,0.31197881120479,0.015024676322937011,0.008036905229091644,0.03033367872238159
3600,5932.340444087982,0.2828306255915959,0.014963560700416566,0.007994179129600525,0.031085084825754165
3700,6082.159927368164,0.2289670090475738,0.014864153265953063,0.007975847870111465,0.029943630695343018
3800,6231.9670033454895,0.19008343142527337,0.0149353589117527,0.008021320700645446,0.029947073608636857
3900,6383.083884477615,0.3856445083504332,0.014943536669015885,0.008006750196218491,0.03090765491127968
4000,6534.228087425232,0.26458685549279837,0.014864537715911865,0.007994997650384902,0.030922635197639464
4100,6685.001416921616,0.260096491878021,0.01483019009232521,0.008037520796060562,0.030763530135154725
4200,6836.335000991821,0.19458359416334134,0.01499615415930748,0.007975271940231322,0.0308400160074234
4300,6985.036403894424,0.2585731154448149,0.01511875182390213,0.008052758872509003,0.029759760797023773
4400,7143.379127979279,0.2761614081038351,0.014863471835851669,0.008009258806705475,0.032780045568943025
4500,7299.560939073563,0.2360109527523582,0.014971075057983398,0.008029635101556777,0.03165846586227417
4600,7452.481704711914,0.2655346468105722,0.014952674359083176,0.008007576316595077,0.030797910988330842
4700,7606.512227296829,0.21988156750435336,0.014890481829643249,0.007961429208517074,0.03130720183253288
4800,7765.615154743195,0.19199189763405683,0.01508606344461441,0.007992228865623474,0.03259141951799393
4900,7922.088742733002,0.2081362732933121,0.014936782121658325,0.007987076342105865,0.03153121635317802
5000,8077.237761974335,0.2116967503171145,0.014999369978904725,0.007995603382587433,0.03143058776855469
5100,8227.304907083511,0.17174550544501926,0.015111957490444184,0.00801574781537056,0.02974155232310295
5200,8378.424098730087,0.21628293410967672,0.014909377694129944,0.008014304488897324,0.030574131458997726
5300,8530.91509270668,0.22556437319288306,0.014910550564527511,0.007981985658407211,0.030488401353359222
5400,8683.949920892715,0.20678225593990646,0.015030221194028854,0.008016274571418762,0.030732063651084898
5500,8838.706295013428,0.2513423176058814,0.015104997903108597,0.008058632463216782,0.030887522846460343
5600,8991.083693027496,0.1920448248357252,0.014891800731420516,0.008023047000169753,0.030214021056890486
5700,9145.475755691528,0.19907123036398844,0.014881620854139329,0.007992431819438935,0.031119660884141923
5800,9298.020632743835,0.20510816091778905,0.01505411833524704,0.008036539405584336,0.030444275438785553
5900,9450.232248067856,0.15015455072368922,0.015023966282606126,0.008035311847925187,0.02986440971493721
6000,9602.943442344666,0.14544377991330293,0.014890328049659729,0.007955211251974105,0.029609661847352982
6100,9755.55713057518,0.16014363017925234,0.014994312077760696,0.008012392520904542,0.029884911477565765
6200,9905.303489685059,0.24848825681189965,0.014939140975475312,0.00802055686712265,0.02976907029747963
6300,10054.466100692749,0.2354689352751984,0.015075981616973877,0.008028345704078675,0.029640947729349137
6400,10204.301614522934,0.18698374268818044,0.014931320995092392,0.008009302616119384,0.029993741512298583
6500,10353.7614569664,0.19116038657075024,0.014935977011919021,0.008002018481492996,0.029769483059644698
